"","logFC","logCPM","PValue"
"1007_s_at",0.338116451464342,5.94612367794077,0.381421342349352
"1053_at",-0.0958659521660465,5.82534061602563,1
"117_at",-0.172498129569392,6.02002171127171,0.76195319564137
"121_at",-0.0277056441153368,5.8845623686132,1
"1255_g_at",-0.48953581967908,6.28184884502259,0.219361731162187
"1294_at",0.200272107622164,5.91531465161894,0.70381114143446
"1316_at",0.035060986901447,5.99173130211371,1
"1320_at",0.109309098267418,5.86959727713936,0.827402854902119
"1405_i_at",-0.0360650658651302,5.97892649807476,1
"1431_at",-0.317172131900433,5.7757165680975,0.625918898603948
"1438_at",-0.281596504178922,5.92880686521191,0.533550640553523
"1487_at",-0.0637342781542007,5.74061723484073,0.974887002732011
"1494_f_at",0.031658497538042,5.79330424835465,1
"1552256_a_at",0.0817880087590848,5.85619899190032,0.928933536662043
"1552257_a_at",-0.0748020778358242,5.80113473988498,0.990836482209921
"1552258_at",-0.0168798861956967,5.75632544848594,1
"1552261_at",0.00615675844360086,5.83579590479007,1
"1552263_at",0.0105081503523063,5.93413049959547,1
"1552264_a_at",-0.353507057083304,6.10998586257323,0.382406922063871
"1552266_at",-0.0248845941110719,5.84778369933291,1
"1552269_at",0.0491801796986129,5.5763181496252,0.974091737546961
"1552271_at",0.0138295793948362,5.47208838685814,1
"1552272_a_at",0.00918460139581565,5.69271088310154,0.994292448266494
"1552274_at",0.278782770702841,5.97333489363599,0.522914438457042
"1552275_s_at",0.322801149649627,5.93838897974376,0.491635727045421
"1552276_a_at",-0.0748983546474578,5.76138196757564,1
"1552277_a_at",-0.194624180198442,5.82149197653662,0.786712724616182
"1552278_a_at",-0.112739583183692,5.6740101256568,0.87412826610423
"1552279_a_at",-0.0381414284129441,5.86045352160758,1
"1552280_at",0.0246246612261956,5.57048226965719,1
"1552281_at",0.00283739007588329,5.78126537078091,1
"1552283_s_at",0.354340922544681,5.91880606870015,0.395398969909846
"1552286_at",-0.100604322324109,5.78013090708802,0.875356671237056
"1552287_s_at",0.198673696183898,5.88146578228702,0.670943971581374
"1552288_at",-0.117302506905719,5.83793881990633,0.963992189961309
"1552289_a_at",0.0182119439030091,5.5073953463603,1
"1552291_at",-0.0715172234671526,5.89914875916707,0.978906344089112
"1552293_at",-0.070981454933022,5.73294431105495,0.974887002732011
"1552295_a_at",0.0344068542580723,5.75063795448743,1
"1552296_at",0.256677240723553,5.70306847972536,0.71492075476252
"1552299_at",0.0405992796764128,5.88184017556793,0.95697747974167
"1552301_a_at",-0.0589132338601324,5.68708984634234,1
"1552302_at",0.194780022210806,5.99408026665398,0.68123923310487
"1552303_a_at",0.323355627857956,5.9049780777051,0.459211013028452
"1552304_at",0.0158791786119675,5.57387386171548,1
"1552306_at",0.00639780621511763,5.82826424840506,1
"1552307_a_at",-0.0256835883021852,5.5519172933597,1
"1552309_a_at",0.598459681827174,5.86544336594896,0.145920218732828
"1552310_at",-0.0575785213673889,5.83877577690646,0.963992189961309
"1552311_a_at",-0.0436865109532969,5.85158567629266,1
"1552312_a_at",-0.173930503312051,5.8432923195102,0.897070769101785
"1552314_a_at",0.106205410533902,5.89381622657849,0.794801269432413
"1552315_at",0.108241634902235,5.93117856846079,0.824918175973047
