ID,Filter,Control,Disease,isUsed,Excluded,Note,KO.Gene,Note,org
GSE73655,,control,,1,,,Huntington's disease,,hsa
GSE45516,,ctrl,,1,,,Huntington's disease,,hsa
GSE37517,,control,,0,,,,,hsa
GSE9476,,CD34,,1,,,Acute myeloid leukemia,,hsa
GSE14924,CD4,Healthy,,1,,,acute myeloid leukaemia ,,hsa
GSE14924,CD8,Healthy,,1,,,acute myeloid leukaemia ,,hsa
GSE92778,,Normal,,1,,,acute myeloid leukaemia ,,hsa
GSE68172,,2$|6$|13$|17$|22$|26$|29$|33$|37$|40$|45$|50$|56$|59$|63$|67$|70$,,1,,,acute myeloid leukaemia ,,hsa
GSE15471,,N,,1,,,pancreatic,,hsa
GSE16515,,Normal,,1,,,pancreatic,,hsa
GSE32676,,non,,1,,,pancreatic,,hsa
GSE28735,,non,,1,,,pancreatic,,hsa
GSE18670,,P,,1,,,pancreatic,,hsa
GSE18842,,Control,,1,,,lung,,hsa
GSE19188,,2333N|2335N|2344T|2381N|2387N|2393N|2394T|2405N|2407N|2409N|2411N|2419N|ADC2231N|ADC2245N|ADC2247N|ADC2255N|ADC2257N|ADC2263N|ADC2269N|ADC2277N|ADC2293N|ADC2295N|ADC2307N|ADC2315N|ADC2320N|ADC2325N|ADC2330N|LCC2217N|LCC2233N|LCC2249N|LCC2281N|LCC2303N|LCC2311N|LCC2327N|LCC2334N|SCC2213N|SCC2235N|SCC2239N|SCC2261N|SCC2265N|SCC2267N|SCC2273N|SCC2279N|SCC2283N|SCC2287N|SCC2299N|SCC2301N|SCC2305N|SCC2313N|SCC2317N|SCC2321N|TB0009he|TB0010he|TB0011he|TB0017he|TB0022he|TB0028tu|TB0031he|TB0033he|TB0036he|TB0050he|TB0053he|TB0067he|TB0068he|2323N,,1,,,lung,,hsa
GSE19804,,Normal,,1,,,lung,,hsa
GSE50627,,normal,,1,,,lung,,hsa
GSE6044,,Normal,,1,,,lung,,hsa
GSE19728,,normal,,1,,,astrocytomas,,hsa
GSE21354,,normal,,1,,,astrocytomas,,hsa
GSE50161,,NORMAL,,1,,,,,hsa
GSE4290,,HF0088_U133P2|HF0120_U133P2|HF0131_U133P2|HF0137_U133P2|HF0141_U133P2|HF0151_U133P2|HF0163_U133P2|HF0171_U133P2|HF0201_U133P2|HF0211_U133P2|HF0232_U133P2|HF0295_U133P2|HF0303_U133P2|HF0312_U133P2|HF0377_U133P2|HF0383_U133P2|HF0467_U133P2|HF0512_U133P2|HF0523_U133P2|HF0526_U133P2|HF0533_U133P2|HF0593_U133P2|HF0616_U133P2,HF0953_U133P2_2|HF1246_U133P2|HF1366_U133P2|HF1442_U133P2|HF1511_U133P2|HF1568_U133P2|HF1708_U133P2|HF0017_U133P2|HF0026_U133P2|HF0108_U133P2|HF0152_U133P2|HF0189_U133P2|HF0450_U133P2|HF0491_U133P2|HF1000_U133P2|HF1139_U133P2|HF1232_U133P2|HF1269_U133P2|HF1295_U133P2|HF1316_U133P2|HF1344_U133P2|HF1407_U133P2|HF1469_U133P2|HF1487_U133P2|HF1581_U133P2|HF1587_U133P2|HF0024_U133P2|HF0031_U133P2|HF0050_U133P2|HF0066_U133P2|HF0089_U133P2|HF0138_U133P2|HF0142_U133P2|HF0180_U133P2|HF0184_U133P2|HF0212_U133P2|HF0218_U133P2|HF0244_U133P2|HF0316_U133P2|HF0350_U133P2|HF0460_U133P2|HF0505_U133P2|HF0520_U133P2|HF0543_U133P2|HF0583_U133P2|HF0627_U133P2|HF0654_U133P2|HF0702_U133P2|HF0790_U133P2|HF0850_U133P2|HF0855_U133P2|HF0894_U133P2|HF0936_U133P2|HF0963_U133P2|HF0982_U133P2|HF0986_U133P2|HF0990_U133P2|HF0992_U133P2|HF0996_U133P2|HF1057_U133P2|HF1058_U133P2|HF1077_U133P2|HF1078_U133P2|HF1097_U133P2|HF1122_U133P2|HF1137_U133P2|HF1178_U133P2|HF1186_U133P2|HF1191_U133P2|HF1220_U133P2|HF1242_U133P2|HF1255_U133P2|HF1262_U133P2|HF1280_U133P2|HF1286_U133P2|HF1292_U133P2|HF1318_U133P2|HF1326_U133P2|HF1338_U133P2|HF1356_U133P2|HF1357_U133P2|HF1382_U133P2|HF1397_U133P2|HF1409_U133P2|HF1458_U133P2|HF1475_U133P2|HF1490_U133P2|HF1492_U133P2|HF1494_U133P2|HF1509_U133P2|HF1517_U133P2|HF1534_U133P2|HF1538_U133P2|HF1540_U133P2|HF1585_U133P2|HF1589_U133P2|HF1608_U133P2|HF1618_U133P2|HF1628_U133P2|HF1640_U133P2|HF1667_U133P2|HF1671_U133P2|HF1702_U133P2|HF0088_U133P2|HF0120_U133P2|HF0131_U133P2|HF0137_U133P2|HF0141_U133P2|HF0151_U133P2|HF0163_U133P2|HF0171_U133P2|HF0201_U133P2|HF0211_U133P2|HF0232_U133P2|HF0295_U133P2|HF0303_U133P2|HF0312_U133P2|HF0377_U133P2|HF0383_U133P2|HF0467_U133P2|HF0512_U133P2|HF0523_U133P2|HF0526_U133P2|HF0533_U133P2|HF0593_U133P2|HF0616_U133P2|HF0087_U133P2|HF0285_U133P2|HF0291_U133P2|HF0329_U133P2|HF0434_U133P2|HF0453_U133P2|HF0471_U133P2|HF0488_U133P2|HF0615_U133P2|HF0639_U133P2|HF0670_U133P2|HF0726_U133P2|HF0813_U133P2|HF0822_U133P2|HF0835_U133P2|HF0897_U133P2|HF0899_U133P2|HF0914_U133P2|HF0920_U133P2|HF0931_U133P2|HF0960_U133P2|HF0962_U133P2|HF0975_U133P2|HF1156_U133P2|HF1167_U133P2|HF1227_U133P2|HF1235_U133P2|HF1325_U133P2|HF1345_U133P2|HF1348_U133P2|HF1380_U133P2|HF1381_U133P2|HF1489_U133P2|HF1502_U133P2|HF1551_U133P2|HF1606_U133P2|HF1613_U133P2|HF1677_U133P2|HF0251_U133P2|HF0332_U133P2|HF0510_U133P2|HF0816_U133P2|HF0828_U133P2|HF0966_U133P2|HF1136_U133P2|HF1150_U133P2|HF1185_U133P2|HF1219_U133P2|HF1334_U133P2|HF1493_U133P2,1,,,brain tumor,,hsa
GSE44971,,CTRL,,1,,,pilocytic astrocytoma tumour,,hsa
GSE20153,,C,,1,,,Parkinson's disease,,hsa
GSE20291,,C,,1,,,Parkinson's disease,,hsa
GSE20164,,HS1035|HS1037|HS543B|HS673|HS911,,1,,,Parkinson's disease,,hsa
GSE7621,,normal,,1,,,Parkinson's disease,,hsa
GSE19587,,Control,,1,,,Parkinson's disease,,hsa
GSE19420,,NGT,,1,,,muscle mitochondrial ,,hsa
GSE39825,,control,,1,,,,,hsa
GSE26887,,control,,1,,,heart failure,,hsa
GSE21340,,jos0007-2|jos0008-2|jos0501|jos0502|jos0505|jos0592|jos0593|jos0594|jos0595|jos0596|jos0537|jos0538|jos0672|jos0673|jos0674,,0,,,,,hsa
